File Name,INPUT_1_BuildingNumber,Service Type,Service Category,INPUT_1_FacilityName,INPUT_1_Address,INPUT_2_ Address,Building Number,INPUT_1_Borough,INPUT_1_ZipCode,Latitude2,Longitude2,INPUT_1_Phone2,Column3,INPUT_1_AdditionalInfo2,OUTPUT_BBL,OUTPUT_BIN,OUTPUT_City_Council_District,OUTPUT_Community_District,OUTPUT_NTA_Name,Location
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,BBRx Plus,5223 7th Avenue,,,BROOKLYN,11220,40.64114123,-74.00724977,(718) 851-0817,,<p>Ask a staff member to check your blood pressure.</p>,3008100001,3014064,38,307,Sunset Park East,"(40.64114123, -74.00724977)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check at a Kiosk (Self-serve),Blood Pressure,CVS Pharmacy,97-01 Liberty Avenue,,,QUEENS,11417,40.68077161,-73.84210437,,,,4091200040,4534370,32,410,Ozone Park,"(40.68077161, -73.84210437)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Duane Reade,2025 Broadway,,,MANHATTAN,11599,40.77661914,-73.98213463,(212) 579-9955,,<p>Ask a staff member to check your blood pressure.</p>,,,,,,"(40.77661914, -73.98213463)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Duane Reade,1627 Broadway,,,MANHATTAN,11679,40.7612735,-73.98416746,(212) 586-0374,,<p>Ask a staff member to check your blood pressure.</p>,,,,,,"(40.7612735, -73.98416746)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Ditmas Pharmacy,509 Ditmas Avenue,,,BROOKLYN,11218,40.63600849,-73.97387834,(718) 675-0055,,<p>Ask a staff member to check your blood pressure.</p>,3053890053,3328446,39,312,Kensington-Ocean Parkway,"(40.63600849, -73.97387834)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check at a Kiosk (Self-serve),Blood Pressure,Estates Pharmacy,169-01 Hillside Avenue,,,QUEENS,11432,40.71076232,-73.79289058,,,,4098440001,4210573,24,408,Jamaica Estates-Holliswood,"(40.71076232, -73.79289058)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,37th Avenue Pharmacy,95-07 37th Avenue,,,QUEENS,11452,40.75114366,-73.87200553,(718) 424-8684,,<p>Ask a staff member to check your blood pressure.</p>,,,,,,"(40.75114366, -73.87200553)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check at a Kiosk (Self-serve),Blood Pressure,Rite Aid Pharmacy,33-01 30th Avenue,,,QUEENS,11103,40.76609646,-73.91965467,,,,4006270044,4009153,22,401,Astoria,"(40.76609646, -73.91965467)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Duane Reade,1 Whitehall Street,,,MANHATTAN,11573,40.7039659,-74.01316436,(212) 509-9020,,<p>Ask a staff member to check your blood pressure.</p>,,,,,,"(40.7039659, -74.01316436)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,AV Pharmacy,94-61 Corona Avenue,,,QUEENS,11373,40.74230267,-73.8694784,(718) 271-1262,,<p>Ask a staff member to check your blood pressure.</p>,4016040054,4314506,25,404,Elmhurst,"(40.74230267, -73.8694784)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Duane Reade,5008 5th Avenue,,,BROOKLYN,11220,40.64498917,-74.01045007,(718) 439-0614,,<p>Ask a staff member to check your blood pressure.</p>,3007910039,3013270,38,307,Sunset Park West,"(40.64498917, -74.01045007)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Brooklyn Center Pharmacy,104 Dekalb Avenue,,,BROOKLYN,11201,40.68982636,-73.9787576,(718) 250-0060,,<p>Ask a staff member to check your blood pressure.</p>,3020950029,3058605,35,302,Fort Greene,"(40.68982636, -73.9787576)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Greenfield Chemist & Surgical Supplies,1526 Cortelyou Road,,,BROOKLYN,11226,40.64144593,-73.9638807,(718) 282-7660,,<p>Ask a staff member to check your blood pressure.</p>,3051580010,3118714,40,314,Flatbush,"(40.64144593, -73.9638807)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check at a Kiosk (Self-serve),Blood Pressure,Rite Aid Pharmacy,45-02 43rd Avenue,,,QUEENS,11104,40.7449779,-73.91912447,,,,4001600023,4001898,26,402,Hunters Point-Sunnyside-West Maspeth,"(40.7449779, -73.91912447)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Elite Drugs,111-14 Liberty Avenue,,,QUEENS,11419,40.68481516,-73.83090284,(718) 880-1940,,<p>Ask a staff member to check your blood pressure.</p>,4095340007,4314906,28,410,South Ozone Park,"(40.68481516, -73.83090284)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Med Rx Pharmacy,97-27 Queens Boulevard,,,QUEENS,11374,40.72943279,-73.86042943,(718) 312-1048,,<p>Ask a staff member to check your blood pressure.</p>,4020910008,4050462,29,406,Rego Park,"(40.72943279, -73.86042943)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Duane Reade,130 William Street,,,MANHATTAN,11617,40.70923092,-74.0067378,(212) 385-1131,,<p>Ask a staff member to check your blood pressure.</p>,,,,,,"(40.70923092, -74.0067378)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Harrico-Galler Drug,1409 Coney Island Avenue,,,BROOKLYN,11230,40.62310559,-73.96484887,(718) 377-7724,,<p>Ask a staff member to check your blood pressure.</p>,3067130061,3179852,44,314,Midwood,"(40.62310559, -73.96484887)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,M.G.R. Farmacia Latina,37-63 103rd Street,,,QUEENS,11369,40.7527678,-73.86418098,(718) 205-3633,,<p>Ask a staff member to check your blood pressure.</p>,4017690074,4044327,21,403,North Corona,"(40.7527678, -73.86418098)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Hester Pharmacy,153 Hester Street,,,MANHATTAN,10013,40.717383,-73.99571801,(212) 966-7599,,<p>Ask a staff member to check your blood pressure.</p>,1002390038,1003136,01,102,SoHo-TriBeCa-Civic Center-Little Italy,"(40.717383, -73.99571801)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check at a Kiosk (Self-serve),Blood Pressure,Pharmacia Lacross,543 East 137th Street,,,BRONX,10454,40.80636392,-73.91851137,,,,2022650050,2000051,08,201,Mott Haven-Port Morris,"(40.80636392, -73.91851137)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check at a Kiosk (Self-serve),Blood Pressure,Rite Aid Pharmacy,355 Knickerbocker Avenue,,,BROOKLYN,11237,40.7007945,-73.92183627,,,,3032470002,3073852,37,304,Bushwick North,"(40.7007945, -73.92183627)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Best Quality Care,5015 8th Avenue,,,BROOKLYN,11220,40.64096299,-74.00384828,(718) 686-8765,,<p>Ask a staff member to check your blood pressure.</p>,3056440004,3137810,38,312,Sunset Park East,"(40.64096299, -74.00384828)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check at a Kiosk (Self-serve),Blood Pressure,CVS Pharmacy,200 West End Avenue,,,MANHATTAN,10023,40.77818408,-73.98519609,,,,1011587506,1030352,06,107,Lincoln Square,"(40.77818408, -73.98519609)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,NYC Drug Store,159-16 Union Turnpike,,,QUEENS,11366,40.72033995,-73.80771308,,,<p>Ask a staff member to check your blood pressure.</p>,4068540031,4148378,24,408,Pomonok-Flushing Heights-Hillcrest,"(40.72033995, -73.80771308)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Prime Ex Pharmacy,75-17 Jamaica Avenue,,,QUEENS,11421,40.6914576,-73.86628965,(718) 296-0202,,<p>Ask a staff member to check your blood pressure.</p>,4088350019,4180787,30,409,Woodhaven,"(40.6914576, -73.86628965)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Duane Reade,51 West 51st Street,,,MANHATTAN,11563,40.76004848,-73.97883619,(212) 582-8525,,<p>Ask a staff member to check your blood pressure.</p>,,,,,,"(40.76004848, -73.97883619)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check at a Kiosk (Self-serve),Blood Pressure,CVS Pharmacy,2021 Francis Lewis Boulevard,,,QUEENS,11357,40.77978783,-73.80225453,,,,4057450002,4128809,19,407,Ft. Totten-Bay Terrace-Clearview,"(40.77978783, -73.80225453)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Duane Reade,4318 13th Avenue,,,BROOKLYN,11219,40.63822596,-73.98879434,(718) 686-0047,,<p>Ask a staff member to check your blood pressure.</p>,3056040041,3136154,39,312,Borough Park,"(40.63822596, -73.98879434)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Health Choice Pharmacy,86-10 Roosevelt Avenue,,,QUEENS,11465,40.74803149,-73.87998758,(718) 898-1548,,<p>Ask a staff member to check your blood pressure.</p>,,,,,,"(40.74803149, -73.87998758)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Bridge Pharmacy,8912 3rd Avenue,,,BROOKLYN,11209,40.62108634,-74.03203778,(718) 836-1400,,<p>Ask a staff member to check your blood pressure.</p>,3060630042,3154135,43,310,Bay Ridge,"(40.62108634, -74.03203778)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Mr Pharmacy,19-01 Mott Avenue,,,QUEENS,11388,40.60362024,-73.75180991,(718) 868-4860,,<p>Ask a staff member to check your blood pressure.</p>,,,,,,"(40.60362024, -73.75180991)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,San Pedro Pharmacy,1381 St Nicholas Avenue,,,MANHATTAN,10033,40.80120272,-73.96515539,(212) 928-7263,,<p>Ask a staff member to check your blood pressure.</p>,1021620044,1063901,10,112,Washington Heights South,"(40.80120272, -73.96515539)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Pharmore Pharmacy,510 Ocean Avenue,,,BROOKLYN,11226,40.6504177,-73.96109011,(718) 282-3600,,<p>Ask a staff member to check your blood pressure.</p>,3050800068,3116542,40,314,Flatbush,"(40.6504177, -73.96109011)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check at a Kiosk (Self-serve),Blood Pressure,Second Avenue Pharmacy,249 East 115th Street,,,MANHATTAN,10029,40.57773121,-73.95602086,,,,1016650023,1052535,08,111,East Harlem North,"(40.57773121, -73.95602086)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Duane Reade,300 West 135th Street,,,MANHATTAN,11644,40.81651677,-73.94662091,(212) 491-6015,,<p>Ask a staff member to check your blood pressure.</p>,,,,,,"(40.81651677, -73.94662091)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check at a Kiosk (Self-serve),Blood Pressure,Rite Aid Pharmacy,2833 Broadway,,,MANHATTAN,10025,40.80386565,-73.96693115,,,,1018930050,1057316,07,107,Morningside Heights,"(40.80386565, -73.96693115)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check at a Kiosk (Self-serve),Blood Pressure,Rite Aid Pharmacy,55-60 Myrtle Avenue,,,QUEENS,11385,40.7000476,-73.90671885,,,,4035460060,4085463,34,405,Ridgewood,"(40.7000476, -73.90671885)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check at a Kiosk (Self-serve),Blood Pressure,Rite Aid Pharmacy,21b Knolls Crescent,,,BRONX,10463,40.87870353,-73.91757618,,,,2057230075,2083249,11,208,Spuyten Duyvil-Kingsbridge,"(40.87870353, -73.91757618)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,New York Flushing Pharmacy,157-10 Northern Boulevard,,,QUEENS,11412,40.76371608,-73.808035,(718) 461-7200,,<p>Ask a staff member to check your blood pressure.</p>,4052760019,4119352,20,407,Murray Hill,"(40.76371608, -73.808035)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check at a Kiosk (Self-serve),Blood Pressure,Raees Pharmacy,750 Flatbush Avenue,,,BROOKLYN,11226,40.65446575,-73.95963533,,,,3050630039,3116165,40,314,Flatbush,"(40.65446575, -73.95963533)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check at a Kiosk (Self-serve),Blood Pressure,Rose Pharmacy,1074 Liberty Avenue,,,BROOKLYN,11208,40.85146663,-73.90235239,,,,3042000013,3094326,37,305,Cypress Hills-City Line,"(40.85146663, -73.90235239)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Park Drugs,801 Nostrand Avenue,,,BROOKLYN,11225,40.66926478,-73.95054587,(718) 953-4548,,<p>Ask a staff member to check your blood pressure.</p>,3012690004,3032927,35,309,Crown Heights South,"(40.66926478, -73.95054587)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Salzman Chemists,149-19 Union Turnpike,,,QUEENS,11417,40.67477839,-73.87427605,(718) 380-5440,,<p>Ask a staff member to check your blood pressure.</p>,4066910081,4144786,24,408,Kew Gardens Hills,"(40.67477839, -73.87427605)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check at a Kiosk (Self-serve),Blood Pressure,Rite Aid Pharmacy,5224 Fifth Avenue,,,BROOKLYN,11220,40.64380331,-74.01167865,,,,3008070046,3013917,38,307,Sunset Park West,"(40.64380331, -74.01167865)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Duane Reade,1889 Broadway,,,MANHATTAN,11648,40.77094299,-73.98215782,(212) 586-6749,,<p>Ask a staff member to check your blood pressure.</p>,,,,,,"(40.77094299, -73.98215782)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Duane Reade,116-02 Beach Channel Drive,,,QUEENS,11387,40.58175933,-73.83847649,(718) 945-7781,,<p>Ask a staff member to check your blood pressure.</p>,,,,,,"(40.58175933, -73.83847649)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check at a Kiosk (Self-serve),Blood Pressure,Rite Aid Pharmacy,1532 86th Street,,,BROOKLYN,11228,40.61085794,-74.00863309,,,,3063610037,3166240,43,311,Bath Beach,"(40.61085794, -74.00863309)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Duane Reade,352 Greenwich Street,,,MANHATTAN,11657,40.71889498,-74.01039317,(212) 406-3700,,<p>Ask a staff member to check your blood pressure.</p>,,,,,,"(40.71889498, -74.01039317)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Accurate Pharmacy,639 5th Avenue,,,BROOKLYN,11215,40.66293472,-73.99175302,(718) 788-2082,,<p>Ask a staff member to check your blood pressure.</p>,3008790010,3017074,38,307,Park Slope-Gowanus,"(40.66293472, -73.99175302)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,All-Source Pharmacy & Surgical,91-09 63rd Drive,,,QUEENS,11374,40.72643241,-73.86472914,(718) 255-6100,,<p>Ask a staff member to check your blood pressure.</p>,4031030060,4072815,29,406,Rego Park,"(40.72643241, -73.86472914)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Kings Bay Chemists,3610 Nostrand Avenue,,,BROOKLYN,11229,40.59594163,-73.94103302,(718) 891-3447,,<p>Ask a staff member to check your blood pressure.</p>,3073860142,3201584,48,315,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,"(40.59594163, -73.94103302)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Community Care Pharmacy,2913 Surf Avenue,,,BROOKLYN,11224,40.57285932,-73.99509019,(718) 372-5300,,<p>Ask a staff member to check your blood pressure.</p>,3070510048,3189522,47,313,Seagate-Coney Island,"(40.57285932, -73.99509019)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Queens Central Pharmacy,116-08 Queens Boulevard,,,QUEENS,11434,40.71596925,-73.83337028,(718) 268-8060,,<p>Ask a staff member to check your blood pressure.</p>,4033460001,4079980,29,406,Forest Hills,"(40.71596925, -73.83337028)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Image Heights Pharmacy,75-01 37th Avenue,,,QUEENS,11466,40.7490797,-73.89067954,(718) 424-0100,,<p>Ask a staff member to check your blood pressure.</p>,,,,,,"(40.7490797, -73.89067954)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Duane Reade,598 Broadway,,,MANHATTAN,11576,40.7250382,-73.99708488,(212) 343-2567,,<p>Ask a staff member to check your blood pressure.</p>,,,,,,"(40.7250382, -73.99708488)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Duane Reade,1675 3rd Avenue,,,MANHATTAN,11630,40.78373244,-73.95038108,(212) 348-7400,,<p>Ask a staff member to check your blood pressure.</p>,,,,,,"(40.78373244, -73.95038108)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Bangladesh Farmacia,73-21 37th Road,,,QUEENS,11456,40.74716799,-73.89214434,(718) 406-9393,,<p>Ask a staff member to check your blood pressure.</p>,,,,,,"(40.74716799, -73.89214434)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Duane Reade,941 Southern Boulevard,,,BRONX,10459,40.82108923,-73.89163747,(718) 328-3220,,<p>Ask a staff member to check your blood pressure.</p>,2027240190,2005788,17,202,Hunts Point,"(40.82108923, -73.89163747)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check at a Kiosk (Self-serve),Blood Pressure,CVS Pharmacy,150 Court Street,,,BROOKLYN,11201,40.68879881,-73.99280633,,,,3002920026,3003069,39,306,Carroll Gardens-Columbia Street-Red Hook,"(40.68879881, -73.99280633)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Duane Reade,73-01 37th Avenue,,,QUEENS,11460,40.74888111,-73.89256743,(718) 672-8038,,<p>Ask a staff member to check your blood pressure.</p>,,,,,,"(40.74888111, -73.89256743)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Merrick Pharmacy,234-28 Merrick Boulevard,,,QUEENS,11422,40.67432309,-73.7357303,(718) 997-8700,,<p>Ask a staff member to check your blood pressure.</p>,4131980038,4539016,31,413,Laurelton,"(40.67432309, -73.7357303)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Lenox Pharmacy,27 Lenox Avenue,,,MANHATTAN,10026,40.7991064,-73.95181071,(212) 678-9722,,<p>Ask a staff member to check your blood pressure.</p>,1018210031,1054959,09,110,Central Harlem South,"(40.7991064, -73.95181071)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Dyckman Pharmacy,199 Dyckman Street,,,MANHATTAN,11684,40.86480224,-73.92678752,(212) 567-1331,,<p>Ask a staff member to check your blood pressure.</p>,,,,,,"(40.86480224, -73.92678752)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Duane Reade,1352 1st Avenue,,,MANHATTAN,11652,40.76808405,-73.95577554,(212) 535-9816,,<p>Ask a staff member to check your blood pressure.</p>,,,,,,"(40.76808405, -73.95577554)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check at a Kiosk (Self-serve),Blood Pressure,Perla Pharmacy,822 East Tremont Avenue,,,BRONX,10460,40.84355085,-73.8873865,,,,2029560028,2010070,17,206,East Tremont,"(40.84355085, -73.8873865)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,AAA Drugs,143-73 243rd Street,,,QUEENS,11422,40.66063429,-73.73909352,(718) 528-5299,,<p>Ask a staff member to check your blood pressure.</p>,4135700057,4288481,31,413,Rosedale,"(40.66063429, -73.73909352)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Cedra Pharmacy,1207 2nd Avenue,,,MANHATTAN,11541,40.76338736,-73.96232343,(212) 758-9614,,<p>Ask a staff member to check your blood pressure.</p>,,,,,,"(40.76338736, -73.96232343)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Corona Farmacia,111-19a Roosevelt Avenue,,,QUEENS,11368,40.75168397,-73.85548124,(718) 476-5660,,<p>Ask a staff member to check your blood pressure.</p>,4017840023,4445323,21,403,North Corona,"(40.75168397, -73.85548124)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Punjab Pharmacy,1018 Coney Island Avenue,,,BROOKLYN,11230,40.63277334,-73.96692979,(718) 434-4000,,<p>Ask a staff member to check your blood pressure.</p>,3054290021,3128200,40,314,Flatbush,"(40.63277334, -73.96692979)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Nature's Prescriptions,5-29 50th Avenue,,,QUEENS,11513,40.74311234,-73.95607366,(718) 786-8555,,<p>Ask a staff member to check your blood pressure.</p>,,,,,,"(40.74311234, -73.95607366)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Al-Hafeez Pharmacy,97-21 57 Avenue,,,QUEENS,11368,40.73735229,-73.86341144,(718) 699-7700,,<p>Ask a staff member to check your blood pressure.</p>,4019050048,4047192,21,404,Corona,"(40.73735229, -73.86341144)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Bj's Pharmacy,76 East 116th Street,,,MANHATTAN,11532,40.79961063,-73.94398702,(212) 348-7788,,<p>Ask a staff member to check your blood pressure.</p>,,,,,,"(40.79961063, -73.94398702)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check at a Kiosk (Self-serve),Blood Pressure,Rite Aid Pharmacy,32 East 170th Street,,,BRONX,10452,40.8399805,-73.91707861,,,,2028420013,2008076,16,204,West Concourse,"(40.8399805, -73.91707861)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Family Plus Pharmacy,14 Elizabeth Street,,,MANHATTAN,10013,40.71583501,-73.99740634,(212) 732-3388,,<p>Ask a staff member to check your blood pressure.</p>,1002020025,1084353,01,103,Chinatown,"(40.71583501, -73.99740634)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Dear Drugs,488 Avenue P,,,BROOKLYN,11223,40.60919359,-73.96944818,(718) 998-8000,,<p>Ask a staff member to check your blood pressure.</p>,3066360006,3176049,44,315,Homecrest,"(40.60919359, -73.96944818)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check at a Kiosk (Self-serve),Blood Pressure,Rite Aid Pharmacy,106-40 Rockaway Beach Boulevard,,,QUEENS,11694,40.5822911,-73.82854257,,,,4161780001,4592130,32,414,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,"(40.5822911, -73.82854257)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Isabel's Pharmacy,338 East Gun Hill Road,,,BRONX,10467,40.87879754,-73.87310406,(718) 655-4005,,<p>Ask a staff member to check your blood pressure.</p>,2033520039,2018503,11,207,Norwood,"(40.87879754, -73.87310406)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Freya Pharmacy,101-19 39th Avenue,,,QUEENS,11368,40.75024579,-73.86453984,(347) 649-2525,,<p>Ask a staff member to check your blood pressure.</p>,4017670051,4044175,21,403,North Corona,"(40.75024579, -73.86453984)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Rx-Spress Pharmacy,123-07 Liberty Avenue,,,QUEENS,11419,40.64234627,-74.00599234,(718) 322-7320,,<p>Ask a staff member to check your blood pressure.</p>,4095600033,4203850,28,410,South Ozone Park,"(40.64234627, -74.00599234)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Duane Reade,100 West 57th Street,,,MANHATTAN,11574,40.76442062,-73.97747023,(212) 956-0464,,<p>Ask a staff member to check your blood pressure.</p>,,,,,,"(40.76442062, -73.97747023)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check at a Kiosk (Self-serve),Blood Pressure,CVS Pharmacy,750 Avenue of the Americas,,,MANHATTAN,10010,40.74400703,-73.99198474,,,,1008260001,1085951,03,105,Hudson Yards-Chelsea-Flatiron-Union Square,"(40.74400703, -73.99198474)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,Duane Reade,401 East 86th Street,,,MANHATTAN,11612,40.77685087,-73.94930665,(917) 492-8801,,<p>Ask a staff member to check your blood pressure.</p>,,,,,,"(40.77685087, -73.94930665)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check by Pharmacy Staff,Blood Pressure,B & M Family Pharmacy,969 Flatbush Avenue,,,BROOKLYN,11226,40.64792167,-73.95816542,(718) 859-0007,,<p>Ask a staff member to check your blood pressure.</p>,3051090002,3117363,40,314,Erasmus,"(40.64792167, -73.95816542)"
Open Data SET_BP Checks on HealthMap.xlsx,,Free Blood Pressure Check at a Kiosk (Self-serve),Blood Pressure,Lawrence Pharmacy,740 New Lots Avenue,,,BROOKLYN,11207,40.66621025,-73.88305151,,,,3043120002,3097004,42,305,East New York,"(40.66621025, -73.88305151)"
